LASAcases,GPSA summary
0,"This Risk Alert describes a medication patient safety incident, reported by ISMP, of a methotrexate overdose. A transcription error resulted in a daily dosage regimen instead of the weekly regimen intended. A 72-year-old female patient with a history of rheumatoid arthritis required oral methotrexate 10mg BID weekly on Mondays in the hospital. Although the dosage was correctly listed on her medication reconciliation form, a transcription error, Ågmethotrexate 10mg BIDÅh, was made on the discharge medication list. Hence, the patient was wrongly taking oral methotrexate daily instead of weekly. The error was discovered by a visiting nurse after the patient complained of mucositis and diarrhea. The patient was told to stop the methotrexate and attend the emergency department Lab results supported the commencement of filgrastim and darbepoetin to correct her white and red blood cell counts respectively."
0,This Risk Alert discusses multiple medication patient safety incidents in paediatrics relating to wrong infusion rates.
0,"The Bulletin contains a review of one Canadian and thirty-three international medication incidents regarding Prograf and Advagraf mix-ups. There is potential for significant patient harm if these drugs are mistakenly interchanged, including acute rejection of transplanted organs and toxic effects due to overexposure. A summary of the contributing factors and recommended actions to reduce the risk of recurrence are provided."
0,"This Clinical Alert communicates the risks of using fentanyl transdermal patches. Description of a patient safety incident is used to illustrate problems that may occur with prescribing and monitoring of fentanyl transdermal. Contributing factors of the incident are provided and several recommended actions to reduce risk are made The case of a 85 year old female in a long-term care facility treated for pain is described. She was prescribed acetaminophen 1 000 mg every six hours for the moderate to severe back pain she was experiencing. Several weeks later the pain had not abated despite nearly around-the-clock use of acetaminophen. The physician discontinued the acetaminophen and ordered Percocet? (oxycodone/acetaminophen 5mg/325mg), one tablet by mouth every six hours as needed for pain. The patient requested all four doses daily. Three days after beginning Percocet? therapy, pain continued and Duragesic? (fentanyl) 75 mcg transdermal patch every 72 hours was ordered. The following day the patient was very lethargic; her respiratory rate was eight breaths per minute. The physician ordered the fentanyl patch to be removed. The patient was sent to the hospital; on route EMS administered two doses of Narcan? (naloxone) with short-term improvement. The patient arrived at the Emergency Room and was found to be unresponsive with a respiratory rate of six breaths per minute. The patient was intubated and admitted to the Intensive Care Unit where she remained on a Narcan? drip for two days. She subsequently developed aspiration pneumonia. After eight days in the hospital, she was stable enough to return to the nursing home."
0,"A medication had a defaulted schedule of QID (four times a day), with administration times of 9am, 1pm, 5pm and 9pm (0900, 1300, 1700 and 2100). When the CPRS user typed BID (twice a day) to change the schedule and then pressed the <Enter> key, the four QID administration times remained stored with the order, instead of only the two BID administration times of 9am and 5pm (0900 and 1700). (See Attachment 1). This problem has existed in prior versions of CPRS and was reported at a VAMC. This problem may lead to underdosing or overdosing of medications. We are not aware of any patient harm at this time. The Alert contains general information regarding the issue and actions for implementation by applicable VA facilities."
0,"Patients with marked insulin resistance can be prescribed a concentrated form of human insulin in a concentration of 500 units/mL. Nationally, confusion between U-100 and U-500 insulin concentration during prescribing, dispensing and administration has caused significant patient harm. The VA National Center for Patient Safety (NCPS) has reviewed the Patient Safety Information System database and found multiple patient incidents related to the U-500 insulin. The Alert lists actions to be implemented in applicable VA facilities."
0,"A patient was admitted to a surgical unit following an intracranial hemorrhage. The patient was later transferred to medicine following complications from a deep vein thrombosis (DVT) and was treated with a heparin infusion. The patient's clotting time was sub therapeutic and the physician was contacted. The physician ordered 2,000 units of heparin stat, but the nurse incorrectly administered 20,000 units of heparin. The nurse immediately recognized her error and notified the physician. On assessment, the patient had a decreased level of consciousness and the medical emergency team was called. The patient was subsequently transferred to ICU and intubated. Treatment was withdrawn four days later due to a poor neurological outcome and the patient died. This alert describes an action to reduce risk."
0,"Critical incidents have occurred when unfractionated heparin (UFH) has been inappropriately prescribed and administered. Errors include inappropriate dose prescribed, incorrect dose administered, and delayed or inappropriate dose adjustments in response to clotting time results. Contributing factors include: UFH is prescribed for multiple indications which increases the risk of dosage errors: UFH has a narrow therapeutic range and can produce unpredictable adverse reactions at therapeutic doses; increasing monitoring is also required when using heparin in combination with interacting drugs or when the patient has certain co-existing conditions; and there are many presentations of UFH available that may look alike and therefore lead to selection error. This alert describes actions to reduce risk."
1,"This Safety Bulletin reviews errors resulting in patient safety incidents where epinephrine for topical use was inadvertently injected. A fatal case report is presented with description of contributing factors. Actions to reduce the risk on injecting epinephrine for topical use are provided. During a day surgery ENT procedure, the surgeon requested lidocaine 1% with epinephrine 1:100,000 and was handed a pre-drawn syringe. The surgeon injected the medication into the surgical site. Immediately afterward, the patient experienced a cardiac arrhythmia leading to cardiac arrest. Despite full resuscitation measures, the patient died. Information gathered after the incident indicated that the syringe contained epinephrine 1 mg/mL (1:1000) intended for topical use, rather than the local anesthetic for injection that was requested."
0,"This Risk Alert discusses multiple patient safety incidents identified and reviewed by the NPSA of midazolam overdose during intravenous sedation. Actions to reduce risk are provided. The alert also reviews a patient safety incident of a midazolam overdose which occurred in Hong Kong. Availability of high strength midazolam in patient treatment areas and description of the dose in terms of ""mL"" instead of ""mg"" to communicate dose are identified as contributing factors."
0,"Serious patient safety incidents can occur when a patient is given medication via the wrong route. Several patient safety incidents have occurred where medication intended for administration by the oral or enteral route was administered by intravenous injection, resulting in the patient's death. Key contributing factors related to wrong route errors with oral medication include: 1. medications intended for oral use have been prepared in standard, parenteral syringes and administered intravenously in error. Examples include liquid medications and oral tablets that have been crushed and missed with fluid. 2. medications were prepared in a parenteral syringe for oral administration by one nurse and then administered by a different nurse, via the intravenous route. 3. medications involved were available in a range of different formulations for administration by different routes (e.g. oral liquid and intravenous preparations of the same product). 4. The prescribed drug form (e.g. oral suspension) was not available on the ward. 5. Oral dispensers (in the form of colour-coded syringes) which are specifically designed to be incompatible with intravenous cannulae and tubing and other venous access devices were not commonly used or freely available in patient care areas. 6. Patients had multiple lines in place, including intravenous lines and enteral lines (e.g. nasogastric and nasojejeunal lines). 7. Staff failed to understand the requirements for preparing an aseptic product for injection. 8. Lack of knowledge/understanding of the stringent preparation processes and standards mandated for all intravenous solutions. In this Safety Notice, actions to reduce risk have been included for further information."
0,"This Patient Safety Advisory discusses the potential for medication patient safety incidents if the incorrect patient weight is measured, reported, documented, or communicated. The most frequent errors resulting are wrong dose / overdose and wrong dose / underdose. High alert medications are frequently involved and, thus, the outcome can be significant. Contributing factors include the following: - failures to obtain accurate patient weight measurements, - once a weight was obtained, misuse of that value. Examples included: - problems when patients arrive at a hospital and are not weighed, leading to estimates of patient weights, - assumptions that documented weights are current and/or accurate, and - documentation breakdowns (e.g., the patient is weighed in pounds, but the weight is erroneously documented as kilograms). Several patient safety incidents are described and strategies to mitigate risk are provided."
0,This Risk Alert discusses a fatal patient safety incident where a patient was given a dose of vincristine intrathecally instead of intravenously.
0,"This Safety Notice discusses patient safety incidents where patient experience avoidable side effects of amiodarone (a high alert drug) administration. The main contributing factors to the development of side effects such as thrombophlebitis were administration of amiodarone peripherally at a concentration which was too high, repeated or continuously administered."
0,"This Risk Alert discusses a medication patient safety incident where the wrong concentration of adrenalin was used. The focus of the alert addresses confusion of drug dosage related to interchanging use of the terms ""mL"", ""mg"" and ""%"" to communicate dose."
0,"It is well-known to healthcare practitioners that use of nitroglycerin therapy is contraindicated in patients taking sildenafil (commonly known as Viagra). Many healthcare practitioners may be unaware that sildenafil is also marketed under the brand name Revatio, for treatment of primary pulmonary hypertension or pulmonary hypertension secondary to connective tissue disease. The Bulletin describes a medication incident where an emergency patient in her mid-50s on Revatio was administered nitroglycerin sublingual and intravenously until an internist noted the potential drug interaction and the nitroglycerin was discontinued. The patient experienced no adverse effects. A summary of the contributing factors and recommended actions to reduce the risk of recurrence are provided."
0,"This Patient Safety Advisory discusses medication patient safety incidents that occur despite the use of bar-coding medication administration (BCMA) technology. The Advisory stresses that technology alone does not ensure a safe medication-use system, and the process changes that accompany any technology can introduce new sources of error. Contributing factors to errors in a bar-code environment include failures to use this technology appropriately, employing workarounds or overriding alerts, disruptions in the medication administration process, and dispensing errors that arise in the pharmacy where the wrong bar-code is applied to the wrong drug or wrong drug strength. Recommendations to reduce risk of these errors are provided."
0,"This Quality Use of Medicines Alerts discusses the risk of patient safety incidents with the use of fentanyl patches. This alert contains main messages regarding the risk, recommended actions to reduce risk and information to be provided to patients on fentanyl patches. Several patient safety incidents are described."
1,This Quality Use of Medicines Alert discusses patient safety incidents related to prescribing and administration of subcutaneous insulin. A wrong dose and/or wrong formulation of insulin has resulted. Several patient safety incidents are described. Contributing factors include the following: - Using the non-approved abbreviation ÅeUÅf for units. Doses prescribed using the abbreviation ÅeUÅf for units has led to staff misinterpreting the ÅeUÅf as a ÅezeroÅf and resulted in a ten-fold increase in the d
0,"This Risk Alert discusses a near miss medication patient incident where a 10 fold overdose of cyclophosphamide was averted. A 55-kg adult patient was diagnosed with WegenerÅfs granulomatosis while staying in ICU. A physician prescribed IV cyclophosphamide 2.2g daily for 3 days but the diagnosis was not stated in the order. A pharmacist reviewed the order and had doubt about mesna not prescribed with high dose cyclophosphamide. On obtaining the diagnosis, the unusual high cyclophosphamide dose for an autoimmune disorder such as WegenerÅfs granulomatosis was noted. The pharmacist contacted the physician. The physician realized that he had intended to order a dose of 220mg and changed the order."
0,"This Risk Alert discusses several medication patient safety incidents where patients with a known drug allergy are prescribed, dispensed and/or administered a drug that has been identified as a drug the patient is allergic to. The preponderance of penicillin and cephalosporin related medication patient incidents are presented."
0,"The Bulletin describes a near-miss medication incident where the incorrect dosage of cyclophosphamide was almost given intravenously to a patient in the Intensive Care Unit for a non-oncology indication (Wegener's granulomatosis) due to a misread, handwritten note. A summary of the contributing factors and recommended actions to reduce the risk of recurrence are provided."
0,"Whenever pediatric and adult patient populations are treated in the same location, there is a high risk of harm from an ""incorrect patient"" error, particularly when a high-alert medication is involved. The Bulletin highlights an incident ""in which an infant was inadvertently given a dose of hydromorphone intended for an adult patient"". The physician inadvertently picked up the infant's chart after examining a palliative care patient. An order for hydromorphone (Dilaudid) 4 mg to be given orally was written. The infant's nurse did approach the physician to ask if he had intended to order the hydromorphone 4 mg. The physician verbally confirmed the order as written; however, neither healthcare provider used any patient identifiers during the conversation. A comprehensive summary of the contributing factors and recommendations are included in the bulletin."
0,"This Sentinel Event Alert discusses medication patient safety incidents related to the administration of anticoagulants. Contributing factors to errors include the following: - Lack of standardization for the naming, labelling and packaging of anticoagulants creates confusion. For example, heparin flush syringes have been confused with LMW heparin syringes. In addition, other, lesser-known anticoagulant drug names exist (e.g., enoxaparin, dalteparin, tinzaparin) and are used less commonly, which can result in duplicate medication orders and erroneous dosing. - Keeping current with different dosing regimens for various patient populations, newer assay methods, the expanding lists of drug interactions, and the potential reversal strategies can be a challenge for providers?especially those who infrequently prescribe or administer anticoagulants. - The specific and individualized instructions and monitoring information (for example, dose adjustments, lab values, changing patient condition) that accompany the prescribing and administration of anticoagulants may fail to get documented or communicated during transfers and hand-offs. - Neonates and other pediatric patients are problematic to treat, specifically because the medications are formulated and packaged primarily for adults. Recommendations for general management of anticoagulant therapy and specific recommendations to reduce risk of error with all anticoagulants, heparin and warfarin are provided."
0,"A Clinical Alert regarding the risk of vascular injury, including ischemia and resulting amputation, associated with the intravenous administration of Promethazine (Phenergan). The description of two patient safety incidents are provided as case studies. A 40 year-old patient with complaints of abdominal pain, nausea and vomiting that received half of the ordered 12.5 mg of promethazine in 10cc normal saline before it was stopped due to burning at the IV site (forearm). His thumb and index finger were later amputated. The second incident involved a 90 year-old patient with nausea, vomiting, and diarrhea. She and an IV inserted in the back of her wrist and was given 12.5mg of promethazine IV. Within a few hours, she complained of pain in her hand. An amputation (unknown extent) was performed and wide spread tissue necrosis was noted at the time of surgery. The alert includes a variety of recommendations culled from various sources, including RCAs submitted, ISMP recommendations, the Pennsylvania Patient Safety Authority, and the Infusion Nurses Society."
0,"This Patient Safety Advisory reviews medication patient safety incidents where a patient has received a medication that they have a documented allergy to. Contributing factors are several and include documentation of patientsÅf allergies on paper but not entered into the organizationÅfs computerized order-entry systems, allergy information not consistently documented in expected locations, failure to apply a wrist band with allergy information, organizationsÅf attempts to list every drug allergen on the wristband, and allergies arising during episodes of care but not documented in the medical record or communicated to appropriate staff. Additional contributing factors described are: - use of verbal medication orders, especially when prescribers do no"
0,This Risk Alert outlines global strategies for reducing the risk of intrathecal administration of chemotherapeutic medications.
